sire,dam,laid,hatchstart,hatchend,hatchnum,clutchsize,maleprice,femaleprice,sire_tree,sire_doh,dam_tree,dam_doh,lineage_collage
flash,judy,2017-02-27,2017-10-17,2017-10-30,32,33,NA,NA,/blog/2015/01/10/flash/tree.png,2015/01/10,/blog/2015/02/11/judy/tree.png,2015/02/11,/img/ambilobe/flashjudy.jpg
jude,alla,2017-12-25,2019-07-09,2019-07-20,30,31,NA,NA,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
jude,alla,2018-01-22,2019-08-16,2019-09-15,32,33,NA,NA,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
jude,kako,2018-11-27,2019-06-05,2019-06-19,34,34,NA,NA,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2017/11/21/kako/tree.png,2017/11/21,/img/ambilobe/judekako.jpg
jude,alla,2019-03-03,2019-10-06,2019-10-30,34,37,NA,NA,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
jude,alla,2019-04-20,2019-11-20,2019-12-25,32,32,NA,NA,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
jude,alla,2019-09-17,2020-04-20,2020-05-01,23,33,350,325,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
jude,alla,2019-11-17,2020-05-24,2020-06-08,24,34,350,325,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
zanaka,sunny,2019-12-21,2020-07-17,2020-07-28,28,29,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/10/sunny/tree.png,2019/06/10,/img/ambilobe/zanakasunny.jpg
arti,alla,2019-12-27,2020-07-10,2020-07-31,15,20,375,325,/blog/2020/04/06/arti/tree.png,2020/04/06,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/nuggetalla.jpg
zanaka,sunny,2020-02-11,2020-08-16,2020-08-19,29,30,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/10/sunny/tree.png,2019/06/10,/img/ambilobe/zanakasunny.jpg
nugget,alla,2020-02-19,2020-08-27,2020-09-18,32,34,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/nuggetalla.jpg
bleu,patch,2020-03-08,2020-09-12,2020-09-27,29,32,350,325,/blog/2019/07/15/bleu/tree.png,2019/07/15,/blog/2019/06/08/patch/tree.png,2019/06/08,/img/ambilobe/bleupatch.jpg
zanaka,bubbles,2020-03-23,2020-10-15,2020-10-17,37,39,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/08/16/bubbles/tree.png,2019/08/16,/img/ambilobe/zanakabubbles.jpg
zanaka,sunny,2020-04-08,2020-10-18,2020-10-22,33,35,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/10/sunny/tree.png,2019/06/10,/img/ambilobe/zanakasunny.jpg
nugget,alla,2020-04-10,2020-10-29,2020-11-24,26,29,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/nuggetalla.jpg
zanaka,lilly,2020-04-15,NA,NA,0,25,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/06/lilly/tree.png,2019/06/06,/img/ambilobe/zanakalilly.jpg
bleu,patch,2020-04-21,2020-10-28,2020-11-17,33,41,350,325,/blog/2019/07/15/bleu/tree.png,2019/07/15,/blog/2019/06/08/patch/tree.png,2019/06/08,/img/ambilobe/bleupatch.jpg
zanaka,button,2020-05-22,NA,NA,0,24,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/07/14/button/tree.png,2019/07/14,/img/ambilobe/zanakabutton.jpg
zanaka,daisy,2020-05-30,2020-12-21,2021-01-14,23,31,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/07/daisy/tree.png,2019/06/07,/img/ambilobe/zanakadaisy.jpg
nugget,alla,2020-06-01,2021-01-17,2021-03-10,17,23,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/nuggetalla.jpg
jack,mavokely,2020-06-14,2021-01-20,2021-03-17,3,21,450,399,/blog/2019/10/20/jack/tree.png,2019/10/20,/blog/2019/11/12/mavokely/tree.png,2019/11/12,/img/ambilobe/jackmavokely.jpg
blossom,maitso,2020-06-30,2021-01-27,2021-03-07,25,27,450,39,/blog/2019/07/09/blossom/tree.png,2019/07/09,/blog/2019/11/13/maitso/tree.png,2019/11/13,/img/ambilobe/blossommaitso.jpg
nugget,bohana,2020-07-10,2021-01-14,2021-03-05,5,14,449,399,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2020/03/29/bohana/tree.png,2020/03/29,/img/ambilobe/nuggetbohana.jpg
zanaka,daisy,2020-07-20,2021-03-08,2021-03-20,21,26,350,299,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/07/daisy/tree.png,2019/06/07,/img/ambilobe/zanakadaisy.jpg
nugget,alla,2020-07-23,2021-04-01,2021-04-15,20,21,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/nuggetalla.jpg
jack,mavokely,2020-08-08,2021-03-14,2021-03-22,15,23,450,399,/blog/2019/10/20/jack/tree.png,2019/10/20,/blog/2019/11/12/mavokely/tree.png,2019/11/12,/img/ambilobe/jackmavokely.jpg
zanaka,patch,2020-08-17,NA,NA,0,29,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/08/patch/tree.png,2019/06/08,/img/ambilobe/zanakadaisy.jpg
alfred,kanto,2020-08-20,2021-04-13,2021-05-04,22,24,450,399,/blog/2019/10/21/alfred/tree.png,2019/10/21,/blog/2020/02/15/kanto/tree.png,2020/02/15,/img/ambilobe/alfredkanto.jpg
nugget,bohana,2020-08-25,2021-04-11,2021-05-01,16,21,449,399,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2020/03/29/bohana/tree.png,2020/03/29,/img/ambilobe/nuggetbohana.jpg
zanaka,lilly,2020-08-26,NA,NA,0,34,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/06/lilly/tree.png,2019/06/06,/img/ambilobe/zanakalilly.jpg
blossom,maitso,2020-08-28,2021-04-02,2021-04-28,27,32,450,399,/blog/2019/07/09/blossom/tree.png,2019/07/09,/blog/2019/11/13/maitso/tree.png,2019/11/13,/img/ambilobe/blossommaitso.jpg
nugget,alla,2020-09-19,NA,NA,0,14,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/nuggetalla.jpg
zanaka,daisy,2020-09-22,2021-05-12,2021-05-18,13,18,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/07/daisy/tree.png,2019/06/07,/img/ambilobe/zanakadaisy.jpg
nugget,amara,2020-09-22,2021-06-01,2021-06-28,8,14,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2020/04/04/amara/tree.png,2020/04/04,/img/ambilobe/nuggetamara.jpg
nugget,loko,2020-10-09,2021-06-03,2021-06-19,26,26,450,399,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2020/04/18/loko/tree.png,2020/04/18,/img/ambilobe/nuggetloko.jpg
alfred,kanto,2020-10-16,2021-06-05,2021-06-11,24,24,450,399,/blog/2019/10/21/alfred/tree.png,2019/10/21,/blog/2020/02/15/kanto/tree.png,2020/02/15,/img/ambilobe/alfredkanto.jpg
arti,tigravavy,2020-10-16,2021-06-28,2021-07-29,25,26,399,299,/blog/2020/04/06/arti/tree.png,2020/04/06,/blog/2019/12/12/tigravavy/tree.png,2019/12/12,/img/ambilobe/artitigravavy.jpg
blossom,mavokely,2020-10-23,2021-06-20,2021-06-24,22,22,450,399,/blog/2019/07/09/blossom/tree.png,2019/07/09,/blog/2019/11/12/mavokely/tree.png,2019/11/12,/img/ambilobe/blossommavokely.jpg
blossom,maitso,2020-11-05,2021-06-19,2021-06-24,33,33,450,399,/blog/2019/07/09/blossom/tree.png,2019/07/09,/blog/2019/11/13/maitso/tree.png,2019/11/13,/img/ambilobe/blossommaitso.jpg
nugget,amara,2020-11-24,2021-07-22,2021-07-25,26,27,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2020/04/04/amara/tree.png,2020/04/04,/img/ambilobe/nuggetamara.jpg
nugget,loko,2020-12-04,2021-07-25,2021-07-26,9,24,450,399,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2020/04/18/loko/tree.png,2020/04/18,/img/ambilobe/nuggetloko.jpg
alfred,kanto,2020-12-09,2021-07-20,2021-07-24,25,26,450,399,/blog/2019/10/21/alfred/tree.png,2019/10/21,/blog/2020/02/15/kanto/tree.png,2020/02/15,/img/ambilobe/alfredkanto.jpg
arti,bohana,2020-12-22,NA,NA,0,10,450,399,/blog/2020/04/06/arti/tree.png,2020/04/06,/blog/2020/03/29/bohana/tree.png,2020/03/29,/img/ambilobe/artibohana.jpg
blossom,mavokely,2021-01-02,2021-08-08,2021-08-22,23,26,450,399,/blog/2019/07/09/blossom/tree.png,2019/07/09,/blog/2019/11/12/mavokely/tree.png,2019/11/12,/img/ambilobe/blossommavokely.jpg
blossom,maitso,2021-01-10,NA,NA,0,13,450,399,/blog/2019/07/09/blossom/tree.png,2019/07/09,/blog/2019/11/13/maitso/tree.png,2019/11/13,/img/ambilobe/blossommaitso.jpg
nugget,amara,2021-01-16,2021-10-03,2021-10-08,19,20,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2020/04/04/amara/tree.png,2020/04/04,/img/ambilobe/nuggetamara.jpg
arti,alla,2021-01-23,NA,NA,0,15,375,325,/blog/2020/04/06/arti/tree.png,2020/04/06,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/artialla.jpg
nugget,loko,2021-01-25,2021-09-27,2021-10-15,31,33,450,399,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2020/04/18/loko/tree.png,2020/04/18,/img/ambilobe/nuggetloko.jpg
arti,bohana,2021-02-05,2021-09-15,2021-10-05,21,24,450,399,/blog/2020/04/06/arti/tree.png,2020/04/06,/blog/2020/03/29/bohana/tree.png,2020/03/29,/img/ambilobe/artibohana.jpg
arti,alla,2021-03-14,2021-10-15,2021-10-19,3,20,375,325,/blog/2020/04/06/arti/tree.png,2020/04/06,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/artialla.jpg
nugget,loko,2021-03-19,NA,NA,0,35,450,399,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2020/04/18/loko/tree.png,2020/04/18,/img/ambilobe/nuggetloko.jpg
blossom,maitso,2021-04-13,NA,NA,0,31,450,399,/blog/2019/07/09/blossom/tree.png,2019/07/09,/blog/2019/11/13/maitso/tree.png,2019/11/13,/img/ambilobe/blossommaitso.jpg
arti,daisy,2021-04-19,2021-10-17,2021-10-26,4,26,350,325,/blog/2020/04/06/arti/tree.png,2020/04/06,/blog/2019/06/07/daisy/tree.png,2019/06/07,/img/ambilobe/artidaisy.jpg
papafee,coco,2021-04-27,2021-12-04,2021-12-07,20,21,450,399,/blog/2020/07/17/papafee/tree.png,2020/07/17,/blog/2020/12/04/coco/tree.png,2020/12/04,/img/ambilobe/papafeecoco.jpg
manga,imelda,2021-04-30,2021-12-03,2022-02-19,15,19,450,399,/blog/2020/10/28/manga/tree.png,2020/10/28,/blog/2020/12/03/imelda/tree.png,2020/12/03,/img/ambilobe/mangaimelda.jpg
arti,lilly,2021-05-10,2022-02-03,2022-02-15,10,26,350,325,/blog/2020/04/06/arti/tree.png,2020/04/06,/blog/2019/06/06/lilly/tree.png,2019/06/06,/img/ambilobe/artililly.jpg
blossom,maitso,2021-06-06,2022-06-06,2022-07-26,34,35,399,325,/blog/2019/07/09/blossom/tree.png,2019/07/09,/blog/2019/11/13/maitso/tree.png,2019/11/13,/img/ambilobe/blossommaitso.jpg
papafee,lokana,2021-06-07,2022-01-11,2022-03-01,30,31,450,399,/blog/2020/07/17/papafee/tree.png,2020/07/17,/blog/2020/12/02/lokana/tree.png,2020/12/02,/img/ambilobe/papafeelokana.jpg
manga,imelda,2021-06-20,NA,NA,0,27,450,399,/blog/2020/10/28/manga/tree.png,2020/10/28,/blog/2020/12/03/imelda/tree.png,2020/12/03,/img/ambilobe/mangaimelda.jpg
arti,bohana,2021-06-24,2022-02-21,NA,6,14,450,399,/blog/2020/04/06/arti/tree.png,2020/04/06,/blog/2020/03/29/bohana/tree.png,2020/03/29,/img/ambilobe/artibohana.jpg
papafee,lokana,2021-08-15,2022-04-15,2022-05-11,22,28,450,399,/blog/2020/07/17/papafee/tree.png,2020/07/17,/blog/2020/12/02/lokana/tree.png,2020/12/02,/img/ambilobe/papafeelokana.jpg
manjaka,lokana,2021-10-04,2022-05-31,2022-06-05,29,30,499,399,/blog/2020/12/01/manjaka/tree.png,2020/12/01,/blog/2020/12/02/lokana/tree.png,2020/12/02,/img/ambilobe/manjakalokana.jpg
arti,manjalla,2021-10-05,NA,NA,0,21,499,399,/blog/2020/04/06/arti/tree.png,2020/04/06,/blog/2020/12/05/manjalla/tree.png,2020/12/05,/img/ambilobe/artimanjalla.jpg
manjaka,tigravavy,2021-11-11,2022-07-16,2022-08-02,3,17,425,349,/blog/2020/12/01/manjaka/tree.png,2020/12/01,/blog/2019/12/12/tigravavy/tree.png,2019/12/12,/img/ambilobe/manjakatigravavy.jpg
